! Data from the R dataset, 'quakes'.

4.0 10 12 14 16 22
4.1 10 12 15 19 27
4.2 10 14 18 22 34
4.3 10 15 19 23 32
4.4 10 17 21 27 41
4.5 10.0 18.0 24.0 29.5 45.0
4.6 10 20 27 34 52
4.7 12.0 25.0 30.5 35.0 49.0
4.8 13 28 36 43 60
4.9 20 35 43 50 68
5.0 22 36 49 58 82
5.1 22 49 55 68 91
5.2 49 59 67 74 91
5.3 42 60 69 78 93
5.4  43  63  73  87 110
5.5  67.0  71.0  81.5  92.0 105.0
5.6  79  87  98 115 129
5.7  76.0  84.0 101.5 109.0 123.0
5.9 118.0 118.0 118.5 119.0 119.0
6.0  83.0 101.0 119.0 125.5 132.0
6.1 94 94 94 94 94
6.4 122 122 122 122 122

