Burundi	130	127	116	108	122	149	165	170	196	209	232	247	250	255	273	304	281	292	271	261
Central_African_Republic	226	229	245	290	312	329	351	393	446	455	476	533	545	364	410	366	387	432	467	461
Mozambique	335	310	317	341	399	433	451	499	580	536	485	604	671	673	684	599	434	463	510	512
Madagascar	307	351	335	387	299	335	355	460	562	489	493	553	539	561	549	482	489	528	536	532
Malawi	353	338	384	345	366	377	401	432	505	571	623	695	506	447	484	498	415	467	501	544
Niger	197	208	227	267	285	321	335	389	477	462	476	511	529	552	563	484	498	518	571	554
Eritrea	239	245	227	259	316	301	321	340	301	416	501	643	694	597	787	603	655	558	581	567
Democratic_Republic_of_the_Congo	397	147	171	172	189	227	266	311	367	292	339	388	428	481	512	520	477	479	564	579
Liberia	303	306	312	232	286	293	333	388	464	470	505	583	647	717	709	691	710	706	677	624
Yemen	527	522	551	591	678	796	881	971	1171	1061	1268	1304	1370	1519	1580	1508	1084	905	710	702
Sudan	422	493	555	636	773	997	1250	1600	1701	1401	1637	2034	1396	1463	1628	1679	1639	1199	800	728
Burkina_Faso	249	260	287	364	405	443	457	517	622	603	628	727	734	762	768	632	666	711	780	765
Gambia	766	737	632	581	643	666	662	780	925	833	861	763	743	701	607	650	684	677	729	769
Sierra_Leone	327	363	401	426	430	473	539	576	640	605	651	731	856	981	929	941	822	776	835	834
Rwanda	266	249	242	258	278	335	369	442	546	585	613	675	730	728	749	759	754	784	797	836
Guinea-Bissau	328	338	375	435	448	482	468	543	672	614	644	775	688	712	713	708	748	864	895	837
Mali	264	299	327	382	428	474	507	579	678	682	689	810	754	779	819	724	750	795	857	840
Togo	402	389	436	526	548	539	540	622	736	737	723	803	782	847	877	770	792	813	874	848
Tajikistan	159	167	188	236	309	337	402	519	702	666	738	835	950	1040	1105	919	801	845	852	893
Chad	256	304	341	451	700	901	980	1109	1283	1124	1196	1314	1265	1280	1333	1028	920	889	991	935
Ethiopia	136	132	124	133	152	181	219	267	351	373	341	378	511	549	623	708	791	823	840	949
Uganda	355	348	362	362	431	483	528	634	784	816	809	872	951	965	1008	849	827	838	879	952
Guinea	462	428	445	517	534	471	426	629	675	637	631	607	645	713	729	712	680	796	892	987
Tanzania	380	377	382	401	429	460	491	552	684	701	740	775	868	970	1030	949	966	1017	1002	1044
Lesotho	493	414	458	671	853	922	917	931	869	1011	1222	1325	1261	1192	1251	1105	1099	1200	1215	1134
Benin	503	508	564	698	784	806	837	945	1099	1061	1010	1099	1113	1214	1252	1042	1050	1095	1194	1171
Nepal	266	269	269	281	319	355	389	441	532	543	672	795	794	809	827	882	880	1028	1162	1186
Zambia	364	380	399	452	556	720	1066	1134	1394	1151	1469	1644	1730	1841	1725	1308	1250	1496	1475	1268
Haiti	794	721	684	541	660	773	795	992	1074	1169	1175	1269	1316	1409	1409	1359	1263	1337	1442	1277
Myanmar	159	145	139	177	213	239	266	348	493	593	727	1016	1105	1176	1244	1224	1164	1177	1272	1302
Senegal	614	648	681	832	932	993	1028	1198	1404	1308	1273	1367	1319	1373	1397	1219	1270	1361	1459	1436
Kyrgyzstan	281	310	323	383	436	479	547	725	972	877	885	1131	1190	1295	1293	1133	1132	1255	1322	1467
Pakistan	733	697	690	772	885	949	1032	1146	1228	1109	1138	1302	1378	1391	1424	1535	1567	1653	1698	1501
Comoros	633	681	764	959	1071	1107	1139	1290	1454	1408	1385	1527	1485	1596	1609	1323	1357	1414	1519	1502
Cameroon	660	687	756	949	1089	1102	1147	1278	1439	1410	1353	1465	1404	1528	1605	1383	1413	1469	1586	1533
Timor-Leste	421	540	521	534	471	483	462	539	629	689	819	947	1031	1214	1234	1333	1358	1309	1265	1611
Zimbabwe	970	964	923	822	807	765	678	647	553	790	976	1132	1310	1422	1415	1418	1430	1503	2467	1705
Kiribati	890	755	854	1083	1147	1231	1189	1432	1519	1410	1609	1878	1957	1887	1845	1742	1846	1960	2022	1847
Nicaragua	1031	1055	1012	1010	1078	1153	1225	1327	1499	1438	1499	1652	1728	1784	1909	2029	2091	2148	2008	1940
Mauritania	673	642	635	712	797	963	1357	1425	1647	1476	1716	2013	1946	2072	1827	1668	1691	1759	1882	1945
São_Tomé_and_Príncipe	551	505	553	648	693	809	840	885	1126	1173	1090	1274	1263	1439	1545	1336	1470	1594	1851	1954
