* *
2 0.0772081
1.9 0.0865275
1.8 0.0956453
1.7 0.0982203
1.68165 0.1
1.6 0.108741
1.5 0.115373
1.4 0.120679
1.3 0.128272
1.2 0.138963
1.1 0.149264
1 0.162087
0.9 0.174867
0.806622 0.2
0.8 0.201825
0.7 0.226265
0.6 0.265132
0.526895 0.3
0.5 0.312366
0.4 0.389341
0.389375 0.4
0.316167 0.5
0.3 0.528379
0.264574 0.6
0.22071 0.7
0.2 0.768528
0.192325 0.8
0.17725 0.9
0.157634 1
0.153917 1.1
0.159999 1.2
0.162343 1.3
0.163918 1.4
0.1653 1.5
0.166945 1.6
0.16849 1.7
0.170144 1.8
0.171943 1.9
0.173727 2
* *
0.347305 2
0.343675 1.9
0.340311 1.8
0.337134 1.7
0.333747 1.6
0.330254 1.5
0.327742 1.4
0.32436 1.3
0.319027 1.2
0.308851 1.1
0.315992 1
0.354035 0.9
0.384705 0.8
0.4 0.768233
0.451147 0.7
0.5 0.644168
0.53252 0.6
0.6 0.527048
0.632087 0.5
0.7 0.451005
0.787553 0.4
0.8 0.393607
0.9 0.350385
1 0.324027
1.1 0.304208
1.12025 0.3
1.2 0.283181
1.3 0.262748
1.4 0.244557
1.5 0.22909
1.6 0.215643
1.7 0.200225
1.70171 0.2
1.8 0.188047
1.9 0.176568
2 0.165202
* *
2 0.252216
1.9 0.267971
1.8 0.284838
1.7 0.299583
1.69763 0.3
1.6 0.318091
1.5 0.341302
1.4 0.368196
1.3 0.392506
1.27408 0.4
1.2 0.423452
1.1 0.451519
1 0.48582
0.967714 0.5
0.9 0.530914
0.8 0.594399
0.792937 0.6
0.7 0.686718
0.686245 0.7
0.6 0.792378
0.594042 0.8
0.527339 0.9
0.5 0.948984
0.473972 1
0.465225 1.1
0.479436 1.2
0.486003 1.3
0.490559 1.4
0.495358 1.5
0.5 1.58793
0.50064 1.6
0.505741 1.7
0.510328 1.8
0.515352 1.9
0.520779 2
* *
0.692431 2
0.687029 1.9
0.679731 1.8
0.673913 1.7
0.667158 1.6
0.660353 1.5
0.654361 1.4
0.647562 1.3
0.639508 1.2
0.620994 1.1
0.632061 1
0.7 0.901737
0.701377 0.9
0.792591 0.8
0.8 0.792627
0.887239 0.7
0.9 0.689457
1 0.634877
1.1 0.602757
1.10681 0.6
1.2 0.563428
1.3 0.525209
1.36943 0.5
1.4 0.489792
1.5 0.455667
1.6 0.424385
1.67961 0.4
1.7 0.394725
1.8 0.372831
1.9 0.35083
2 0.331249
* *
2 0.401028
1.9 0.435859
1.8 0.471411
1.71798 0.5
1.7 0.507369
1.6 0.539747
1.5 0.578094
1.44096 0.6
1.4 0.614984
1.3 0.65427
1.20369 0.7
1.2 0.701988
1.1 0.745703
1 0.784618
0.980761 0.8
0.9 0.887549
0.888926 0.9
0.8 0.990562
0.792315 1
0.776708 1.1
0.8 1.19324
0.801683 1.2
0.80989 1.3
0.818084 1.4
0.826289 1.5
0.834222 1.6
0.842588 1.7
0.852451 1.8
0.866195 1.9
0.876984 2
* *
1.11555 2
1.1 1.9549
1.08352 1.9
1.05153 1.8
1.02828 1.7
1.01289 1.6
1 1.50017
0.999982 1.5
0.986392 1.4
0.971568 1.3
0.96843 1.2
0.94415 1.1
0.969948 1
1 0.975771
1.1 0.905553
1.10895 0.9
1.2 0.847772
1.27674 0.8
1.3 0.787222
1.4 0.741814
1.5 0.703389
1.50841 0.7
1.6 0.665161
1.7 0.632555
1.78494 0.6
1.8 0.594372
1.9 0.545906
1.9756 0.5
2 0.490229
* *
2 0.635008
1.9 0.693496
1.88559 0.7
1.8 0.743534
1.7 0.780761
1.63526 0.8
1.6 0.812542
1.5 0.853881
1.4 0.897045
1.39424 0.9
1.3 0.967282
1.24339 1
1.2 1.04836
1.17276 1.1
1.17319 1.2
1.1656 1.3
1.2 1.395
1.20284 1.4
1.25191 1.5
1.2924 1.6
1.3 1.61696
1.34997 1.7
1.4 1.77645
1.41953 1.8
1.5 1.89632
1.50322 1.9
1.57152 2
* *
2 1.50576
1.99138 1.5
1.9 1.46295
1.80712 1.4
1.8 1.39364
1.70025 1.3
1.70652 1.2
1.8 1.11322
1.81267 1.1
1.9 1.02634
1.94213 1
1.97894 0.9
2 0.887431
