! Data estimated from Gröschel et al 2015 | DOI 10.1182/blood-2014-07-591461

DNA	0.00	2	52	48
RNA	3.67	2	80	20
				
DNA	11.01	2	40	60
RNA	14.68	2	82	18
				
DNA	22.02	2	48	52
RNA	25.69	2	96	4
				
DNA	33.03	2	49	51
RNA	36.70	2	90	10
				
DNA	44.04	2	47	53
RNA	47.71	2	94	6
				
DNA	55.05	2	53	47
RNA	58.72	2	81	19
				
DNA	66.06	2	53	47
RNA	69.73	2	95	5
				
DNA	77.07	2	43	57
RNA	80.74	2	91	9
				
DNA	88.08	2	46	54
RNA	91.75	2	75	25
				
DNA	99.09	2	43	57
RNA	102.76	2	78	22
				
DNA	110.10	2	53	47
RNA	113.77	2	83	17
				
DNA	121.11	2	47	53
RNA	124.78	2	80	20
				
DNA	132.12	2	28	72
RNA	135.79	2	93	7
				
DNA	143.13	2	45	55
RNA	146.80	2	100	0
				
DNA	154.14	2	49	51
RNA	157.81	2	90	10
				
DNA	165.15	2	38	62
RNA	168.82	2	100	0
				
DNA	176.16	2	50	50
RNA	179.83	2	80	20
				
DNA	187.17	2	52	48
RNA	190.84	2	95	5
				
DNA	198.18	2	45	55
RNA	201.85	2	98	2
				
DNA	209.19	2	48	52
RNA	212.86	2	96	4
				
DNA	220.20	2	30	70
RNA	223.87	2	100	0
				
DNA	231.21	2	50	50
RNA	234.88	2	91	9
				
DNA	242.22	2	45	55
RNA	245.89	2	93	7
				
DNA	253.23	2	56	44
RNA	256.90	2	95	5
				
DNA	264.24	2	50	50
RNA	267.91	2	95	5
				
DNA	275.25	2	46	54
RNA	278.92	2	92	8
				
DNA	286.26	2	42	58
RNA	289.93	2	95	5
				
DNA	297.27	2	50	50
RNA	300.94	2	60	40
				
DNA	308.28	2	49	51
RNA	311.95	2	97	3
				
DNA	319.29	2	48	52
RNA	322.96	2	84	16
