* *
123.547 120
128.488 115
133.43 110
138.372 105
148.256 100
148.256 100
154.845 90
158.14 80
158.14 80
161.434 70
163.081 60
168.023 50
168.023 50
172.965 40
174.612 30
177.907 20
177.907 20
187.791 15
197.674 10
197.674 10
207.558 10
217.442 6.66667
227.326 3.33333
237.209 4
247.093 5
253.682 10
256.977 12.5
266.86 20
266.86 20
276.744 30
276.744 30
286.628 37.5
289.099 40
296.512 46
300.465 50
306.395 56
310.349 60
316.279 70
316.279 70
326.163 77.5
329.457 80
336.047 85
342.636 90
345.93 92.5
355.814 100
355.814 100
365.698 107.5
370.64 110
375.581 112.5
385.465 110
385.465 110
395.349 110
405.233 107.5
415.116 106.667
425 100
425 100
434.884 100
444.767 95
454.651 93.3333
464.535 90
464.535 90
474.419 90
484.302 86.6667
494.186 86.6667
504.07 90
513.953 87.5
523.837 86.6667
533.721 87.5
543.605 90
553.488 88
563.372 86
573.256 85
583.14 85
593.023 83.3333
602.907 83.3333
612.791 84
622.674 82.5
632.558 80
632.558 80
642.442 80
652.326 75
662.209 75
672.093 80
672.093 80
681.977 90
681.977 90
691.86 100
691.86 100
701.744 105
705.039 110
708.333 120
711.628 130
711.628 130
711.628 130
709.651 140
707.674 150
706.686 160
708.333 170
711.628 180
711.628 180
714.452 190
718.217 200
719.535 210
721.512 220
721.512 220
721.512 230
721.512 240
721.512 240
711.628 250
711.628 250
706.686 260
701.744 270
701.744 270
691.86 280
691.86 280
681.977 290
681.977 290
677.035 300
672.093 310
672.093 310
662.209 320
662.209 320
657.267 330
652.326 340
652.326 340
647.384 350
642.442 360
642.442 370
642.442 380
642.442 380
639.971 390
635.853 400
632.558 403.333
627.616 410
622.674 416.667
621.262 420
617.733 430
612.791 437.5
602.907 440
602.907 440
593.023 447.143
583.14 446.25
573.256 445
563.372 443.75
553.488 441.667
550.194 440
543.605 437.143
533.721 440
533.721 440
523.837 440
513.953 440
504.07 445
494.186 450
494.186 450
484.302 450
474.419 450
464.535 450
454.651 455
444.767 460
444.767 460
434.884 470
434.884 470
425 470
420.058 480
415.116 485
411.822 490
405.233 500
405.233 500
395.349 502.5
385.465 507.5
380.523 510
375.581 513.333
365.698 520
365.698 520
355.814 526.667
352.519 530
345.93 536.667
343.459 540
336.047 545
326.163 550
326.163 550
316.279 553.333
306.395 556
296.512 558
286.628 558.333
276.744 556.667
266.86 555
256.977 554.286
247.093 553.333
237.209 554.286
227.326 554.286
217.442 552
216.03 550
207.558 544.545
197.674 540
197.674 540
187.791 536.667
181.202 530
177.907 527.5
168.023 523.333
158.14 520
148.256 520
148.256 520
138.372 512
135.078 510
128.488 505
118.605 500
118.605 500
108.721 490
108.721 490
101.308 480
98.8372 475
96.3663 470
88.9535 460
88.9535 460
79.0698 454
75.1163 450
69.186 442.5
67.2093 440
59.3023 430
59.3023 430
49.4186 422.5
46.9477 420
39.5349 412.5
37.8876 410
34.593 400
31.2984 390
29.6512 385
28.0039 380
26.3566 370
26.3566 360
28.2392 350
29.6512 340
29.6512 340
31.2984 330
33.887 320
33.6047 310
35.8285 300
39.5349 294
42.8295 290
47.4419 280
46.9477 270
49.4186 265
52.7132 260
59.3023 250
59.3023 250
63.2558 240
65.2326 230
69.186 220
69.186 220
71.1628 210
75.1163 200
79.0698 190
79.0698 190
84.0116 180
88.9535 170
88.9535 170
94.8837 160
98.8372 150
98.8372 150
103.779 140
108.721 133.333
113.663 130
118.605 125
123.547 120
* *
135.078 130
138.372 126.667
148.256 120
148.256 120
158.14 113.333
161.434 110
168.023 100
168.023 100
177.907 90
177.907 80
177.907 80
182.849 70
187.791 60
187.791 60
192.733 50
197.674 40
197.674 30
197.674 30
207.558 30
217.442 25
227.326 20
227.326 20
237.209 16.6667
247.093 17.5
250.388 20
256.977 26.6667
261.919 30
266.86 33.3333
273.45 40
276.744 43.3333
286.628 50
286.628 50
296.512 57.5
298.983 60
303.924 70
306.395 73.3333
312.984 80
316.279 82.5
326.163 90
326.163 90
336.047 97.5
339.341 100
345.93 106.667
349.225 110
355.814 115
365.698 120
365.698 120
375.581 124
385.465 125
395.349 125
405.233 122.5
415.116 122.5
425 120
425 120
434.884 120
444.767 116.667
454.651 113.333
464.535 113.333
474.419 110
474.419 110
484.302 110
494.186 106.667
504.07 106.667
513.953 103.333
523.837 103.333
533.721 100
533.721 100
543.605 98.3333
553.488 98
563.372 96
573.256 95
583.14 94
593.023 92.5
602.907 92.5
612.791 95
622.674 95
632.558 96.6667
642.442 96.6667
652.326 100
652.326 100
662.209 105
667.151 110
672.093 113.333
681.977 120
681.977 120
691.86 122.5
699.273 130
700.332 140
698.45 150
697.508 160
700.332 170
701.744 173.333
704.568 180
706.686 190
709.157 200
709.157 210
707.674 220
705.039 230
701.744 235
698.45 240
691.86 250
691.86 250
686.919 260
681.977 265
672.093 270
672.093 270
662.209 280
662.209 280
655.62 290
652.326 295
649.855 300
642.442 310
642.442 310
637.5 320
632.558 330
632.558 330
627.616 340
625.969 350
625.969 360
625.969 370
625.969 380
625.969 390
622.674 400
622.674 400
617.733 410
614.203 420
612.791 423.333
607.849 430
602.907 432.857
593.023 440
593.023 440
583.14 440
583.14 440
573.256 437.5
563.372 436
553.488 433.333
543.605 430
543.605 430
533.721 427.5
523.837 426.667
513.953 425
504.07 425
494.186 430
494.186 430
484.302 430
474.419 430
474.419 430
464.535 423.333
454.651 420
444.767 420
434.884 430
434.884 430
425 440
425 440
415.116 450
415.116 450
411.822 460
405.233 470
405.233 470
400.291 480
395.349 485
392.054 490
385.465 495
375.581 500
375.581 500
365.698 506.667
355.814 510
355.814 510
345.93 520
345.93 520
338.517 530
336.047 533.333
326.163 540
326.163 540
316.279 544
306.395 546.667
296.512 548.333
286.628 550
286.628 550
286.628 550
276.744 548.333
266.86 547.143
256.977 546.667
247.093 545.714
237.209 546.667
227.326 546.667
217.442 544.286
207.558 540
207.558 540
197.674 534.444
189.767 530
187.791 528.571
177.907 521.25
175.436 520
168.023 515.714
158.14 511.667
153.198 510
148.256 507.5
138.372 500
138.372 500
128.488 492.5
125.194 490
118.605 483.333
115.31 480
108.721 473.333
106.744 470
101.308 460
98.8372 457.5
88.9535 450
88.9535 450
79.0698 442.5
77.093 440
69.186 430
69.186 430
60.9496 420
59.3023 418
51.3953 410
49.4186 407.5
43.4884 400
39.5349 390
39.5349 390
37.5581 380
35.5814 370
35.5814 360
37.5581 350
37.8876 340
39.5349 330
39.5349 330
40.7703 320
39.5349 315
38.5465 310
39.5349 306.667
42.8295 300
49.4186 292
51.0659 290
59.3023 280
59.3023 280
61.2791 270
66.7151 260
69.186 255
70.8333 250
72.4806 240
75.1163 230
79.0698 220
79.0698 220
80.4817 210
84.0116 200
88.9535 192.5
90.189 190
93.8953 180
98.8372 172.5
99.9354 170
103.779 160
108.721 152.5
111.192 150
118.605 142.5
121.899 140
128.488 135
135.078 130
* *
138.372 136.667
134.419 140
128.488 146
123.547 150
118.605 152.857
111.545 160
108.721 164
105.426 170
100.814 180
98.8372 185
96.3663 190
91.4244 200
88.9535 206.667
87.5415 210
85.2471 220
82.7762 230
80.4817 240
79.0698 250
79.0698 250
75.7752 260
71.1628 270
69.186 280
69.186 280
59.3023 290
59.3023 290
51.0659 300
49.4186 303.333
46.124 310
46.9477 320
47.7713 330
47.4419 340
49.4186 350
46.9477 360
46.9477 370
47.4419 380
49.4186 390
49.4186 390
54.3605 400
59.3023 406.667
61.2791 410
69.186 420
69.186 420
79.0698 430
79.0698 430
88.9535 436.667
92.2481 440
98.8372 445
105.426 450
108.721 453.333
113.663 460
118.605 466.667
121.076 470
128.488 480
128.488 480
138.372 487.5
140.843 490
148.256 496
153.198 500
158.14 503.333
168.023 508.571
170 510
177.907 515
185.814 520
187.791 521.429
197.674 528.333
202.616 530
207.558 531.667
217.442 536
227.326 538
237.209 538
247.093 538
256.977 538.333
266.86 540
266.86 540
276.744 540
286.628 541.667
296.512 540
296.512 540
306.395 538.333
316.279 534
322.868 530
326.163 527.5
336.047 522
337.694 520
345.93 511.667
347.578 510
355.814 504.444
363.721 500
365.698 498.333
375.581 491.667
378.052 490
385.465 482.5
387.442 480
391.395 470
395.349 460
395.349 460
398.643 450
401.938 440
