! Auto MPG data set from https://archive.ics.uci.edu/ml/index.php
! car	mpg	cylinders	displacement	horsepower	weight	acceleration	year	origin
chevrolet_chevelle_malibu	18.0	8	307	130	3504	12	70	1
buick_skylark_320	15.0	8	350	165	3693	11.5	70	1
plymouth_satellite	18.0	8	318	150	3436	11	70	1
amc_rebel_sst	16.0	8	304	150	3433	12	70	1
ford_torino	17.0	8	302	140	3449	10.5	70	1
ford_galaxie_500	15.0	8	429	198	4341	10	70	1
chevrolet_impala	14.0	8	454	220	4354	9	70	1
plymouth_fury_iii	14.0	8	440	215	4312	8.5	70	1
pontiac_catalina	14.0	8	455	225	4425	10	70	1
amc_ambassador_dpl	15.0	8	390	190	3850	8.5	70	1
dodge_challenger_se	15.0	8	383	170	3563	10	70	1
plymouth_cuda_340	14.0	8	340	160	3609	8	70	1
chevrolet_monte_carlo	15.0	8	400	150	3761	9.5	70	1
buick_estate_wagon_(sw)	14.0	8	455	225	3086	10	70	1
toyota_corona_mark_ii	24.0	4	113	95	2372	15	70	3
plymouth_duster	22.0	6	198	95	2833	15.5	70	1
amc_hornet	18.0	6	199	97	2774	15.5	70	1
ford_maverick	21.0	6	200	85	2587	16	70	1
datsun_pl510	27.0	4	97	88	2130	14.5	70	3
volkswagen_1131_deluxe_sedan	26.0	4	97	46	1835	20.5	70	2
peugeot_504	25.0	4	110	87	2672	17.5	70	2
audi_100_ls	24.0	4	107	90	2430	14.5	70	2
saab_99e	25.0	4	104	95	2375	17.5	70	2
bmw_2002	26.0	4	121	113	2234	12.5	70	2
amc_gremlin	21.0	6	199	90	2648	15	70	1
ford_f250	10.0	8	360	215	4615	14	70	1
chevy_c20	10.0	8	307	200	4376	15	70	1
dodge_d200	11.0	8	318	210	4382	13.5	70	1
hi_1200d	9.0	8	304	193	4732	18.5	70	1
datsun_pl510	27.0	4	97	88	2130	14.5	71	3
chevrolet_vega_2300	28.0	4	140	90	2264	15.5	71	1
toyota_corona	25.0	4	113	95	2228	14	71	3
amc_gremlin	19.0	6	232	100	2634	13	71	1
plymouth_satellite_custom	16.0	6	225	105	3439	15.5	71	1
chevrolet_chevelle_malibu	17.0	6	250	100	3329	15.5	71	1
ford_torino_500	19.0	6	250	88	3302	15.5	71	1
amc_matador	18.0	6	232	100	3288	15.5	71	1
chevrolet_impala	14.0	8	350	165	4209	12	71	1
pontiac_catalina_brougham	14.0	8	400	175	4464	11.5	71	1
ford_galaxie_500	14.0	8	351	153	4154	13.5	71	1
plymouth_fury_iii	14.0	8	318	150	4096	13	71	1
dodge_monaco_(sw)	12.0	8	383	180	4955	11.5	71	1
ford_country_squire_(sw)	13.0	8	400	170	4746	12	71	1
pontiac_safari_(sw)	13.0	8	400	175	5140	12	71	1
amc_hornet_sportabout_(sw)	18.0	6	258	110	2962	13.5	71	1
chevrolet_vega_(sw)	22.0	4	140	72	2408	19	71	1
pontiac_firebird	19.0	6	250	100	3282	15	71	1
ford_mustang	18.0	6	250	88	3139	14.5	71	1
mercury_capri_2000	23.0	4	122	86	2220	14	71	1
opel_1900	28.0	4	116	90	2123	14	71	2
peugeot_304	30.0	4	79	70	2074	19.5	71	2
fiat_124b	30.0	4	88	76	2065	14.5	71	2
toyota_corolla_1200	31.0	4	71	65	1773	19	71	3
datsun_1200	35.0	4	72	69	1613	18	71	3
volkswagen_model_111	27.0	4	97	60	1834	19	71	2
plymouth_cricket	26.0	4	91	70	1955	20.5	71	1
toyota_corona_hardtop	24.0	4	113	95	2278	15.5	72	3
dodge_colt_hardtop	25.0	4	97.5	80	2126	17	72	1
volkswagen_type_3	23.0	4	97	54	2254	23.5	72	2
chevrolet_vega	20.0	4	140	90	2408	19.5	72	1
ford_pinto_runabout	21.0	4	122	86	2226	16.5	72	1
chevrolet_impala	13.0	8	350	165	4274	12	72	1
pontiac_catalina	14.0	8	400	175	4385	12	72	1
plymouth_fury_iii	15.0	8	318	150	4135	13.5	72	1
ford_galaxie_500	14.0	8	351	153	4129	13	72	1
amc_ambassador_sst	17.0	8	304	150	3672	11.5	72	1
mercury_marquis	11.0	8	429	208	4633	11	72	1
