* *
0.881327 0
0.695604 0.5
0.636755 1
0.695604 1.5
0.881327 2
1 2.18489
1.1902 2.5
1.5 2.84168
1.64708 3
2 3.28789
2.30108 3.5
2.5 3.61871
3 3.8518
3.5 3.99164
3.58765 4
4 4.04106
4.41235 4
4.5 3.99164
5 3.8518
5.5 3.61871
5.69892 3.5
6 3.28789
6.35292 3
6.5 2.84168
6.8098 2.5
7 2.18489
7.11867 2
7.3044 1.5
7.36325 1
7.3044 0.5
7.11867 0
* *
8.37056 0
8.5 0.351257
8.56276 0.5
8.63255 1
8.56276 1.5
8.5 1.64874
8.37056 2
8.03633 2.5
8 2.53811
7.57914 3
7.5 3.06564
7 3.4784
6.97356 3.5
6.5 3.82072
6.19826 4
6 4.10776
5.5 4.3412
5.02666 4.5
5 4.50949
4.5 4.62894
4 4.66875
3.5 4.62894
3 4.50949
2.97334 4.5
2.5 4.3412
2 4.10776
1.80174 4
1.5 3.82072
1.02644 3.5
1 3.4784
0.5 3.06564
0.420858 3
0 2.53811
* *
0 4.17445
0.5 4.42457
0.655651 4.5
1 4.66875
1.5 4.88775
1.79423 5
2 5.09337
2.5 5.2878
3 5.42668
3.43572 5.5
3.5 5.51941
4 5.57329
4.5 5.51941
4.56428 5.5
5 5.42668
5.5 5.2878
6 5.09337
6.20577 5
6.5 4.88775
7 4.66875
7.34435 4.5
7.5 4.42457
8 4.17445
8.32593 4
8.5 3.89841
9 3.60317
9.174 3.5
9.5 3.27202
9.88504 3
10 2.89526
10.449 2.5
10.5 2.43486
10.8668 2
11 1.71995
11.1167 1.5
11.2037 1
11.1167 0.5
11 0.280049
10.8668 0
* *
6.24398 0
6.42937 0.5
6.48811 1
6.42937 1.5
6.24398 2
6 2.36669
5.90671 2.5
5.5 2.89526
5.36527 3
5 3.2244
4.5 3.4149
4 3.47841
3.5 3.4149
3 3.2244
2.63473 3
2.5 2.89526
2.09329 2.5
2 2.36669
1.75602 2
1.57063 1.5
1.51189 1
1.57063 0.5
1.75602 0
* *
3.43646 0
3.04722 0.5
3 0.689055
2.94444 1
3 1.31095
3.04722 1.5
3.43646 2
3.5 2.04855
4 2.18489
4.5 2.04855
4.56354 2
4.95278 1.5
5 1.31095
5.05556 1
5 0.689055
4.95278 0.5
4.56354 0
* *
0 8.29733
0.5 8.04884
0.5995 8
1 7.80254
1.5 7.58645
1.72462 7.5
2 7.37535
2.5 7.18564
3 7.05014
3.29902 7
3.5 6.94131
4 6.89028
4.5 6.94131
4.70098 7
5 7.05014
