!x y1 y2 y3 y4 y5
198.57 -4 -3 -3 3 3
199.37 -1 -1 4 9 -1
200.17 -4 -2 2 9 1
200.97 -4 -3 -1 6 1
201.77 -4 -2 -8 3 5
202.57 -4 -3 2 -1 -1
203.37 -1 -4 2 -1 1
204.17 -4 -3 -3 9 1
204.97 -7 -4 -3 6 -1
205.77 -4 -2 -1 6 3
206.57 -4 -1 -1 6 5
207.36 -13 -3 -6 3 3
208.16 -10 -3 -3 -1 3
208.96 1 -4 2 -1 -3
209.76 -1 -2 -8 9 3
210.56 -4 -3 -1 6 3
211.36 -4 -4 -8 3 1
212.16 1 -1 -1 6 -1
212.96 -4 -4 -6 6 1
213.76 -7 -2 -3 6 -1
214.56 -4 -2 -3 -1 1
215.35 -7 -2 2 3 1
216.15 -7 -4 -3 6 1
216.95 -13 -4 -11 9 9
217.75 -10 -1 -3 6 -1
218.55 -4 -4 2 -1 -1
219.35 -15 -3 -3 3 3
220.14 -1 -2 -3 3 -1
220.94 -4 0 2 3 1
221.74 -4 -2 2 3 3
222.54 -7 -2 -8 9 3
223.34 -1 -4 -6 9 1
224.14 -1 -3 2 6 3
224.93 -4 -1 2 6 -1
225.73 -7 -3 -1 6 3
226.53 -1 -2 -3 -1 3
227.33 -1 -2 4 3 3
228.12 -1 -1 2 -4 1
228.92 -1 -3 -6 3 3
229.72 -4 -3 -6 -4 3
230.52 -1 -1 2 -1 1
231.31 -4 -1 2 3 -1
232.11 1 -3 -6 3 3
232.91 -4 -4 -1 6 3
233.70 -1 -2 -1 3 -5
234.50 1 1 2 3 3
235.30 -7 -2 -6 3 3
236.09 -4 -3 -8 -4 5
236.89 1 -2 -3 -4 3
237.69 4 -1 -3 6 -1
238.48 -13 -3 2 6 7
239.28 -4 -2 -11 -7 7
240.08 -4 0 2 3 -1
240.87 -4 -1 4 3 1
241.67 -4 -4 -1 3 -1
242.47 -4 -1 -6 6 3
243.26 -1 -2 2 9 5
244.06 -7 -1 -1 9 3
244.85 -7 0 -1 6 5
245.65 -4 -3 -3 6 5
246.45 -4 0 2 13 -1
247.24 -1 0 2 3 1
248.04 -4 -2 -6 3 5
248.83 -1 -4 -1 6 9
249.63 -4 -1 2 6 5
250.42 -4 0 4 6 -1
251.22 -7 -5 -3 -1 3
252.02 1 -2 -1 3 3
252.81 1 0 4 6 5
253.61 -1 -3 4 3 3
254.40 4 -3 -3 -7 3
255.20 1 -3 -8 -4 7
255.99 1 -3 -1 3 3
256.79 -4 0 9 13 5
257.58 -4 -6 -3 6 3
258.38 -4 -1 4 3 3
259.17 -1 -2 2 -1 5
259.97 -4 -3 2 -1 3
260.76 -4 -5 -3 -1 3
261.55 1 -4 -1 3 3
262.35 -4 -1 4 9 5
263.14 -4 0 7 13 3
263.94 -7 -3 -3 6 5
264.73 -4 -1 -1 6 1
265.53 -4 -2 -6 3 1
266.32 -4 -2 4 6 1
267.11 -4 -4 -1 6 3
267.91 1 -1 -6 -1 3
268.70 -1 -4 -1 -1 1
269.50 -4 -2 7 13 3
270.29 -1 -3 2 -7 3
271.08 -4 -1 7 6 1
271.88 -7 0 2 3 1
272.67 -1 -2 2 6 3
273.46 1 -3 7 6 9
274.26 -1 -2 2 6 3
275.05 -1 -1 4 6 -1
275.84 -1 0 7 9 5
276.64 -1 -1 -1 9 7
277.43 1 0 2 9 3
278.22 -1 -1 -1 6 1
279.02 1 -3 -1 3 7
279.81 4 -2 2 3 7
280.60 1 0 -3 6 5
281.39 -1 -3 -1 9 3
282.19 -1 -3 2 6 5
282.98 -1 -2 -1 3 9
283.77 1 0 7 3 7
284.56 1 -1 -1 3 1
285.36 -4 -3 2 6 9
286.15 1 -1 2 9 3
286.94 1 -1 9 -4 7
287.73 -7 -1 -1 6 3
288.53 -4 -2 -3 13 7
289.32 7 -1 2 -1 7
290.11 1 0 -1 9 7
290.90 -4 -1 2 6 5
291.69 -1 -3 -1 6 3
292.48 4 -1 -1 -1 5
293.28 1 0 2 3 5
294.07 -4 0 4 6 7
294.86 -4 -3 -1 6 3
295.65 4 1 4 9 7
296.44 -1 0 -1 3 5
297.23 -7 -3 4 6 1
298.02 -4 -4 4 6 11
298.82 -4 -1 2 6 7
299.61 4 2 9 3 5
300.40 -4 -1 -1 9 1
301.19 1 -1 4 13 9
301.98 -1 1 -1 6 1
302.77 -1 1 -1 3 3
303.56 -1 0 2 9 7
304.35 -1 0 2 3 11
305.14 1 0 2 3 7
305.93 1 1 2 6 3
306.72 1 1 -3 3 5
307.51 -4 0 4 9 11
308.30 -7 3 -1 -1 3
309.09 -10 -2 2 -4 5
309.88 -4 0 4 -1 7
310.67 7 0 4 6 5
311.46 -1 -1 4 -4 5
312.25 1 0 -1 9 1
313.04 -4 -1 4 3 7
313.83 -4 1 4 9 11
314.62 1 0 2 3 5
315.41 1 1 2 13 3
