* *
49.4186 0
49.4186 10
39.5349 20
39.5349 20
39.5349 30
39.5349 40
39.5349 50
39.5349 60
39.5349 60
49.4186 70
49.4186 80
49.4186 80
59.3023 90
59.3023 100
49.4186 110
49.4186 110
39.5349 120
39.5349 120
39.5349 130
29.6512 140
29.6512 140
29.6512 150
19.7674 160
19.7674 160
9.88372 170
9.88372 170
9.88372 170
19.7674 180
19.7674 180
24.7093 190
24.7093 200
19.7674 210
19.7674 210
16.4729 220
9.88372 230
9.88372 230
4.94186 240
4.94186 250
0 260
* *
0 320
9.88372 310
9.88372 300
9.88372 290
9.88372 280
9.88372 280
12.3547 270
17.2965 260
19.7674 250
19.7674 250
26.3566 240
29.6512 230
29.6512 230
34.593 220
39.5349 210
39.5349 210
42.0058 200
44.4767 190
49.4186 180
49.4186 170
49.4186 170
54.3605 160
59.3023 155
61.7733 150
69.186 140
69.186 140
75.7752 130
79.0698 120
79.0698 120
88.9535 110
88.9535 100
88.9535 100
98.8372 90
98.8372 80
98.8372 70
88.9535 60
88.9535 60
88.9535 50
88.9535 40
88.9535 30
88.9535 30
98.8372 20
98.8372 10
98.8372 10
108.721 0
* *
143.314 0
138.372 10
138.372 10
128.488 20
128.488 20
118.605 30
118.605 30
118.605 30
123.547 40
128.488 50
123.547 60
121.899 70
118.605 80
118.605 80
112.016 90
108.721 95
106.25 100
100.814 110
98.8372 112.5
92.907 120
88.9535 126.667
86.9767 130
83.0233 140
79.0698 146.667
75.7752 150
69.186 160
69.186 160
64.2442 170
61.7733 180
59.3023 185
56.8314 190
53.3721 200
49.4186 210
49.4186 210
46.9477 220
42.0058 230
39.5349 240
39.5349 240
32.1221 250
29.6512 253.333
26.3566 260
23.7209 270
23.062 280
19.7674 290
19.7674 290
19.7674 290
21.4147 300
19.7674 310
19.7674 310
17.7907 320
14.8256 330
13.1783 340
11.8605 350
9.88372 355
8.23643 360
9.88372 370
9.88372 370
11.531 380
14.8256 390
18.1202 400
19.7674 405
21.4147 410
25.6977 420
27.6744 430
29.6512 433.333
39.5349 440
39.5349 440
44.4767 450
49.4186 460
49.4186 460
59.3023 465
64.2442 470
69.186 475
72.4806 480
79.0698 490
79.0698 500
79.0698 510
79.0698 510
88.9535 520
88.9535 520
98.8372 525
108.721 530
108.721 530
118.605 535
128.488 540
128.488 540
128.488 540
138.372 536.667
148.256 540
148.256 540
158.14 542
168.023 542.5
177.907 550
177.907 550
187.791 557.5
197.674 560
197.674 560
207.558 562.5
217.442 570
217.442 570
227.326 570
237.209 570
247.093 570
256.977 570
266.86 572
276.744 573.333
286.628 580
286.628 580
296.512 583.333
306.395 580
306.395 580
316.279 575
326.163 572.5
331.105 570
336.047 567.5
345.93 565
355.814 560
355.814 560
365.698 556.667
375.581 550
375.581 550
385.465 545
390.407 540
395.349 536.667
405.233 530
405.233 530
415.116 525
425 526.667
434.884 523.333
444.767 525
454.651 525
464.535 520
464.535 520
474.419 515
484.302 513.333
494.186 510
494.186 510
504.07 500
504.07 500
513.953 490
513.953 490
523.837 480
523.837 480
533.721 470
533.721 470
543.605 464.286
553.488 460
563.372 462.857
573.256 463.75
583.14 463.75
593.023 466.667
602.907 466.667
612.791 463.333
622.674 460
622.674 460
629.264 450
632.558 445
637.5 440
642.442 435
647.384 430
652.326 425
657.267 420
662.209 410
662.209 410
668.798 400
672.093 390
672.093 390
677.035 380
681.977 375
686.919 370
691.86 360
691.86 360
696.802 350
701.744 345
706.686 340
711.628 335
721.512 330
721.512 330
731.395 320
731.395 320
741.279 310
741.279 310
746.221 300
751.163 290
751.163 290
751.163 280
751.163 270
751.163 270
748.692 260
747.209 250
744.574 240
744.103 230
742.691 220
741.279 217.5
737.043 210
733.043 200
731.395 196.667
728.571 190
725.748 180
724.336 170
724.806 160
725.465 150
728.101 140
729.983 130
731.395 125
733.866 120
731.395 110
731.395 110
724.806 100
721.512 93.3333
719.535 90
714.922 80
711.628 75
709.651 70
706.686 60
705.039 50
705.039 40
701.744 30
701.744 30
696.802 20
691.86 10
691.86 10
686.919 0
* *
708.333 0
711.628 5
714.099 10
716.57 20
716.57 30
719.041 40
721.512 50
721.512 50
721.512 60
726.453 70
728.924 80
729.419 90
731.395 95
736.337 100
741.279 105
746.221 110
747.868 120
741.279 130
741.279 130
738.808 140
736.337 150
734.69 160
731.395 170
734.69 180
738.808 190
741.279 200
741.279 200
746.221 210
749.751 220
751.163 230
751.163 230
761.047 240
761.047 240
770.93 250
780.814 250
780.814 250
790.698 260
800.581 260
800.581 260
800.581 270
810.465 280
810.465 280
810.465 290
810.465 290
800.581 300
800.581 300
790.698 310
790.698 310
780.814 313.333
770.93 320
770.93 320
761.047 330
761.047 330
751.163 340
751.163 340
744.574 350
741.279 360
741.279 360
731.395 363.333
721.512 365
711.628 370
711.628 370
701.744 380
701.744 380
691.86 390
691.86 390
686.919 400
681.977 403.333
677.035 410
677.035 420
672.093 423.333
667.151 430
662.209 440
662.209 440
652.326 445
645.736 450
642.442 455
639.147 460
632.558 470
632.558 470
622.674 476.667
612.791 480
612.791 480
612.791 480
602.907 478
593.023 477.5
583.14 480
583.14 480
573.256 480
563.372 490
563.372 490
553.488 490
543.605 500
543.605 500
533.721 500
523.837 510
523.837 510
513.953 520
513.953 520
504.07 530
504.07 530
494.186 540
494.186 540
484.302 550
484.302 550
474.419 550
464.535 550
454.651 555
444.767 560
444.767 560
434.884 560
425 560
415.116 570
415.116 570
405.233 570
395.349 570
385.465 580
385.465 580
375.581 580
365.698 580
355.814 590
355.814 590
345.93 590
336.047 590
326.163 590
316.279 600
* *
266.86 600
256.977 590
256.977 590
247.093 580
237.209 580
227.326 580
217.442 580
207.558 580
197.674 580
197.674 580
187.791 570
177.907 570
168.023 570
158.14 570
148.256 570
138.372 570
128.488 570
128.488 570
118.605 560
108.721 560
98.8372 560
88.9535 560
88.9535 560
79.0698 550
79.0698 550
69.186 540
69.186 540
59.3023 530
59.3023 530
49.4186 520
49.4186 520
39.5349 510
39.5349 510
39.5349 500
39.5349 490
29.6512 480
29.6512 480
19.7674 470
19.7674 470
19.7674 460
19.7674 450
19.7674 440
14.8256 430
9.88372 420
9.88372 420
9.88372 410
9.88372 400
0 390
* *
0 570
9.88372 580
9.88372 580
19.7674 590
19.7674 590
29.6512 600
* *
128.488 600
138.372 595
148.256 595
158.14 595
168.023 595
177.907 600
* *
454.651 600
464.535 590
464.535 590
474.419 580
484.302 580
494.186 580
504.07 580
513.953 580
513.953 580
523.837 570
533.721 570
533.721 570
543.605 560
543.605 560
553.488 550
563.372 550
563.372 550
573.256 540
573.256 540
573.256 530
573.256 520
583.14 510
583.14 510
593.023 505
602.907 500
602.907 500
612.791 496.667
622.674 495
632.558 490
632.558 490
642.442 485
645.736 480
652.326 470
652.326 470
662.209 460
662.209 460
672.093 450
672.093 450
681.977 441.667
691.86 440
691.86 440
701.744 430
701.744 430
711.628 420
711.628 420
721.512 410
721.512 410
731.395 400
731.395 400
741.279 390
741.279 390
751.163 380
751.163 380
761.047 370
761.047 370
770.93 360
770.93 360
780.814 350
780.814 350
780.814 340
790.698 330
800.581 330
800.581 330
810.465 320
810.465 320
820.349 316.667
830.233 310
830.233 310
836.822 300
840.116 290
840.116 290
841.764 280
840.116 270
840.116 270
835.174 260
830.233 250
830.233 250
820.349 246.667
810.465 243.333
800.581 240
800.581 240
790.698 235
780.814 230
780.814 230
770.93 225
767.636 220
761.047 210
761.047 210
