! Windrose Data Table (Percent Frequency) for AL DHAFRA (QGX)
! Observations Used/Missing/Total: 3298/119/3417
! 01 Nov 2010 07:55 AM - 30 Nov 2015 11:58 PM Asia/Dubai
! Hour Limiter: All included
! Wind Speed Units: miles per hour
! Generated 26 Oct 2020 12:33 UTC contact: akrherz@iastate.edu
! First value in table is CALM = 14.1

! Direction	2-5	5-7	7-10	10-15	15-20	20

N	0	6	0.008	0.012	0.012	0.020	0.003	0.000
--	10	6	0.007	0.011	0.010	0.010	0.000	0.000
--	20	6	0.006	0.012	0.005	0.004	0.001	0.000
--	30	6	0.006	0.008	0.004	0.004	0.000	0.000
--	40	6	0.005	0.005	0.002	0.004	0.000	0.000
--	50	6	0.008	0.007	0.005	0.005	0.002	0.000
--	60	6	0.006	0.006	0.005	0.002	0.002	0.000
--	70	6	0.008	0.009	0.003	0.002	0.000	0.000
--	80	6	0.009	0.005	0.001	0.001	0.000	0.000
E	90	6	0.014	0.007	0.003	0.000	0.000	0.000
--	100	6	0.009	0.006	0.003	0.001	0.000	0.000
--	110	6	0.010	0.006	0.005	0.001	0.000	0.000
--	120	6	0.019	0.014	0.008	0.004	0.000	0.000
--	130	6	0.020	0.008	0.007	0.011	0.002	0.000
--	140	6	0.014	0.006	0.004	0.011	0.006	0.002
--	150	6	0.010	0.007	0.002	0.007	0.004	0.002
--	160	6	0.005	0.003	0.004	0.006	0.002	0.002
--	170	6	0.005	0.004	0.002	0.006	0.001	0.001
S	180	6	0.004	0.002	0.003	0.003	0.001	0.000
--	190	6	0.005	0.003	0.002	0.001	0.000	0.000
--	200	6	0.004	0.002	0.001	0.001	0.000	0.000
--	210	6	0.005	0.004	0.001	0.001	0.000	0.000
--	220	6	0.005	0.002	0.001	0.001	0.000	0.000
--	230	6	0.011	0.005	0.004	0.003	0.000	0.000
--	240	6	0.008	0.009	0.004	0.004	0.000	0.000
--	250	6	0.010	0.004	0.002	0.002	0.001	0.000
--	260	6	0.006	0.004	0.002	0.002	0.001	0.000
W	270	6	0.006	0.004	0.003	0.005	0.002	0.000
--	280	6	0.005	0.004	0.003	0.011	0.005	0.000
--	290	6	0.004	0.004	0.004	0.023	0.005	0.000
--	300	6	0.006	0.009	0.009	0.027	0.010	0.001
--	310	6	0.005	0.008	0.008	0.022	0.005	0.000
--	320	6	0.007	0.006	0.006	0.017	0.002	0.001
--	330	6	0.006	0.009	0.011	0.014	0.002	0.001
--	340	6	0.005	0.007	0.009	0.007	0.001	0.001
--	350	6	0.003	0.007	0.015	0.018	0.003	0.000
